,ranking,domain,org_name,time_difference_in_seconds_float,crypto_algorithm,pub_key_len,pub_key_exp,sign_alg
0,ranking,domain,,,,,,
186,186,dns.google,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
187,187,rocket-cdn.com,,,,,,
188,188,rambler.ru,GlobalSign nv-sa,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
189,189,dual-s-msedge.net,,,,,,
190,190,googleblog.com,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
191,191,adobe.io,DigiCert Inc,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
192,192,akamaihd.net,,,,,,
193,193,mzstatic.com,Apple Inc.,7776600.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
194,194,bbc.com,GlobalSign nv-sa,30049927.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
195,195,xiaomi.com,"DigiCert, Inc.",33868799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
196,196,creativecommons.org,"Cloudflare, Inc.",31622399.0,,256.0,,b'ecdsa-with-SHA256'
197,197,abusix.zone,,,,,,
198,198,myfritz.net,DigiCert Inc,31795199.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
199,199,sourceforge.net,"Cloudflare, Inc.",7862399.0,,256.0,,b'ecdsa-with-SHA256'
200,200,smartadserver.com,Google Trust Services LLC,7779213.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
201,201,kaspersky.com,DigiCert Inc,31622399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
202,202,sciencedirect.com,"Cloudflare, Inc.",31622399.0,,256.0,,b'ecdsa-with-SHA256'
203,203,cisco.com,,,,,,
204,204,discord.com,"Cloudflare, Inc.",31622399.0,,256.0,,b'ecdsa-with-SHA256'
205,205,shifen.com,,,,,,
206,206,playstation.net,,,,,,
207,207,imdb.com,Amazon,29030399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
208,208,cdn-apple.com,,,,,,
209,209,hp.com,DigiCert Inc,31622399.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
210,210,miui.com,"DigiCert, Inc.",34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
211,211,mit.edu,DigiCert Inc,31708799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
212,212,shopify.com,Let's Encrypt,7775999.0,,256.0,,b'ecdsa-with-SHA384'
213,213,nginx.org,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
214,214,userapi.com,GlobalSign nv-sa,29355477.0,,256.0,,b'sha256WithRSAEncryption'
215,215,dnsowl.com,,,,,,
216,216,twitch.tv,GlobalSign nv-sa,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
217,217,slack.com,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
218,218,comfortel.pro,Let's Encrypt,7775999.0,,256.0,,b'sha256WithRSAEncryption'
219,219,att.net,,,,,,
220,220,facebook.net,,,,,,
221,221,who.int,"Cloudflare, Inc.",31535999.0,,256.0,,b'ecdsa-with-SHA256'
222,222,ubuntu.com,Let's Encrypt,7775999.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
223,223,googletagservices.com,,,,,,
224,224,cedexis.net,,,,,,
225,225,scorecardresearch.com,,,,,,
226,226,openx.net,DigiCert Inc,31708799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
227,227,washingtonpost.com,"Entrust, Inc.",34214400.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
228,228,edgecdn.ru,,,,,,
229,229,nginx.com,Let's Encrypt,7775999.0,,256.0,,b'sha256WithRSAEncryption'
230,230,ampproject.org,Google Trust Services LLC,7257599.0,,256.0,,b'sha256WithRSAEncryption'
231,231,doubleverify.com,Let's Encrypt,7775999.0,,256.0,,b'sha256WithRSAEncryption'
232,232,adsrvr.org,GlobalSign nv-sa,34300799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
233,233,wixsite.com,,,,,,
234,234,go.com,"Entrust, Inc.",14515199.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
235,235,amazon.co.uk,DigiCert Inc,21772799.0,,2048.0,65537.0,b'sha256WithRSAEncryption'
